index,full_path,relative_path,file_name
275,https://www.classcentral.com/report/author/heba/,/report/author/heba/,275.html
277,https://www.classcentral.com/report/author/manoel/,/report/author/manoel/,277.html
278,https://www.classcentral.com/report/coursera-google-new-deal/,/report/coursera-google-new-deal/,278.html
28,https://www.classcentral.com/report/most-popular-courses-2022/,/report/most-popular-courses-2022/,28.html
282,https://www.classcentral.com/report/udemy-layoffs/,/report/udemy-layoffs/,282.html
284,https://www.classcentral.com/report/harvard-cs50-guide/,/report/harvard-cs50-guide/,284.html
286,https://www.classcentral.com/report/chinese-mooc-platforms/,/report/chinese-mooc-platforms/,286.html
287,https://www.classcentral.com/report/author/ruima/,/report/author/ruima/,287.html
288,https://www.classcentral.com/report/futurelearn-expands-paywall/,/report/futurelearn-expands-paywall/,288.html
289,https://www.classcentral.com/report/author/pat-bowden/,/report/author/pat-bowden/,289.html
29,https://www.classcentral.com/report/100-most-popular-online-courses-2021/,/report/100-most-popular-online-courses-2021/,29.html
290,https://www.classcentral.com/report/udemy-by-the-numbers/,/report/udemy-by-the-numbers/,290.html
296,https://www.classcentral.com/report/best-resume-writing-courses/,/report/best-resume-writing-courses/,296.html
298,https://www.classcentral.com/report/best-ocaml-courses/,/report/best-ocaml-courses/,298.html
3,https://www.classcentral.com/subjects,/subjects,3.html
30,https://www.classcentral.com/collection/ivy-league-moocs,/collection/ivy-league-moocs,30.html
300,https://www.classcentral.com/report/best-davinci-resolve-courses/,/report/best-davinci-resolve-courses/,300.html
303,https://www.classcentral.com/report/udemy-top-courses/,/report/udemy-top-courses/,303.html
304,https://www.classcentral.com/report/india-online-degrees/,/report/india-online-degrees/,304.html
305,https://www.classcentral.com/report/mooc-based-masters-degree/,/report/mooc-based-masters-degree/,305.html
306,https://www.classcentral.com/report/list-of-mooc-based-microcredentials/,/report/list-of-mooc-based-microcredentials/,306.html
31,https://www.classcentral.com/report/coursera-free-online-courses/,/report/coursera-free-online-courses/,31.html
32,https://www.classcentral.com/report/free-certificates/,/report/free-certificates/,32.html
323,https://www.classcentral.com/provider/udacity,/provider/udacity,323.html
33,https://www.classcentral.com/report/free-google-certifications/,/report/free-google-certifications/,33.html
330,https://www.classcentral.com/university/gatech,/university/gatech,330.html
34,https://www.classcentral.com/starting-this-month,/starting-this-month,34.html
340,https://www.classcentral.com/institution/linuxfoundation,/institution/linuxfoundation,340.html
342,https://www.classcentral.com/institution/salesforce,/institution/salesforce,342.html
347,https://www.classcentral.com/report/most-popular-courses-2023/ ,/report/most-popular-courses-2023/ ,347.html
348,https://www.classcentral.com/report/coursera-top-courses/,/report/coursera-top-courses/,348.html
349,https://www.classcentral.com/report/edx-top-courses/,/report/edx-top-courses/,349.html
35,https://www.classcentral.com/new-online-courses,/new-online-courses,35.html
354,https://www.classcentral.com/report/class-central-ddos-attack/,/report/class-central-ddos-attack/,354.html
356,https://www.classcentral.com/report/cs50-free-certificate/,/report/cs50-free-certificate/,356.html
357,https://www.classcentral.com/report/open-university-insiders-perspective/,/report/open-university-insiders-perspective/,357.html
36,https://www.classcentral.com/most-popular-courses,/most-popular-courses,36.html
360,https://www.classcentral.com/report/linkedin-learning-free-learning-paths/,/report/linkedin-learning-free-learning-paths/,360.html
363,https://www.classcentral.com/report/writing-free-online-courses/,/report/writing-free-online-courses/,363.html
364,https://www.classcentral.com/about,/about,364.html
365,https://www.facebook.com/classcentral,https://www.facebook.com/classcentral,365.html
366,https://www.twitter.com/classcentral,https://www.twitter.com/classcentral,366.html
368,https://www.youtube.com/classcentral,https://www.youtube.com/classcentral,368.html
37,https://www.classcentral.com/subject/ai,/subject/ai,37.html
371,https://www.classcentral.com/about/careers,/about/careers,371.html
372,https://www.classcentral.com/help,/help,372.html
373,https://www.classcentral.com/contact,/contact,373.html
374,http://www.facebook.com/sharer.php?u=https%3A%2F%2Fwww.classcentral.com%2F,http://www.facebook.com/sharer.php?u=https%3A%2F%2Fwww.classcentral.com%2F,374.html
376,https://www.classcentral.com/cdn-cgi/l/email-protection#6d521e180f07080e19504b0c001d560f02091450485f5d0519191d1e485e2c485f2b485f2b1a1a1a430e010c1e1e0e0803191f0c01430e0200485f2b,/cdn-cgi/l/email-protection#6d521e180f07080e19504b0c001d560f02091450485f5d0519191d1e485e2c485f2b485f2b1a1a1a430e010c1e1e0e0803191f0c01430e0200485f2b,376.html
38,https://www.classcentral.com/subject/algorithms-and-data-structures,/subject/algorithms-and-data-structures,38.html
39,https://www.classcentral.com/subject/internet-of-things,/subject/internet-of-things,39.html
4,https://www.classcentral.com/subject/cs,/subject/cs,4.html
40,https://www.classcentral.com/subject/information-technology,/subject/information-technology,40.html
41,https://www.classcentral.com/subject/computer-networking,/subject/computer-networking,41.html
42,https://www.classcentral.com/subject/machine-learning,/subject/machine-learning,42.html
43,https://www.classcentral.com/subject/devops,/subject/devops,43.html
44,https://www.classcentral.com/subject/deep-learning,/subject/deep-learning,44.html
45,https://www.classcentral.com/subject/cryptography,/subject/cryptography,45.html
46,https://www.classcentral.com/subject/quantum-computing,/subject/quantum-computing,46.html
47,https://www.classcentral.com/subject/hci,/subject/hci,47.html
48,https://www.classcentral.com/subject/distributed-systems,/subject/distributed-systems,48.html
49,https://www.classcentral.com/subject/blockchain,/subject/blockchain,49.html
5,https://www.classcentral.com/subject/health,/subject/health,5.html
50,https://www.classcentral.com/subject/operating-systems,/subject/operating-systems,50.html
51,https://www.classcentral.com/subject/computer-graphics,/subject/computer-graphics,51.html
53,https://www.classcentral.com/subject/nutrition-and-wellness,/subject/nutrition-and-wellness,53.html
54,https://www.classcentral.com/subject/disease-and-disorders,/subject/disease-and-disorders,54.html
55,https://www.classcentral.com/subject/public-health,/subject/public-health,55.html
56,https://www.classcentral.com/subject/health-care,/subject/health-care,56.html
57,https://www.classcentral.com/subject/nursing,/subject/nursing,57.html
58,https://www.classcentral.com/subject/anatomy,/subject/anatomy,58.html
59,https://www.classcentral.com/subject/veterinary-science,/subject/veterinary-science,59.html
6,https://www.classcentral.com/subject/maths,/subject/maths,6.html
60,https://www.classcentral.com/subject/cme,/subject/cme,60.html
62,https://www.classcentral.com/subject/statistics,/subject/statistics,62.html
63,https://www.classcentral.com/subject/foundations-of-mathematics,/subject/foundations-of-mathematics,63.html
64,https://www.classcentral.com/subject/calculus,/subject/calculus,64.html
65,https://www.classcentral.com/subject/discrete-mathematics,/subject/discrete-mathematics,65.html
66,https://www.classcentral.com/subject/trigonometry,/subject/trigonometry,66.html
67,https://www.classcentral.com/subject/geometry,/subject/geometry,67.html
68,https://www.classcentral.com/subject/algebra,/subject/algebra,68.html
69,https://www.classcentral.com/subject/precalculus,/subject/precalculus,69.html
7,https://www.classcentral.com/subject/business,/subject/business,7.html
70,https://www.classcentral.com/subject/number-theory,/subject/number-theory,70.html
71,https://www.classcentral.com/subject/combinatorics,/subject/combinatorics,71.html
72,https://www.classcentral.com/subject/mathematical-logic,/subject/mathematical-logic,72.html
73,https://www.classcentral.com/subject/linear-programming,/subject/linear-programming,73.html
75,https://www.classcentral.com/subject/management-and-leadership,/subject/management-and-leadership,75.html
76,https://www.classcentral.com/subject/finance,/subject/finance,76.html
77,https://www.classcentral.com/subject/entrepreneurship,/subject/entrepreneurship,77.html
78,https://www.classcentral.com/subject/marketing,/subject/marketing,78.html
79,https://www.classcentral.com/subject/strategic-management,/subject/strategic-management,79.html
8,https://www.classcentral.com/subject/humanities,/subject/humanities,8.html
80,https://www.classcentral.com/subject/industry-specific,/subject/industry-specific,80.html
